AwsRequestID,Client latency (ms)
79cb67f2-1d75-49d8-84da-81e15c16af95,559
e26062ec-622e-4ff9-bc0e-a2f9ff95bd99,568
ead11e5d-49b7-474c-86ff-764205d4e9cb,568
d2d77b9d-339e-4155-bb8c-d3f4ec40ea49,568
112e89fc-2ebd-4b8e-9e05-5b0837c17c0a,571
15112064-2a65-4f2e-a473-d870d33504b0,569
80988e18-1ae8-4d82-95be-8327e52f0525,570
513d66ec-e1d5-405f-afca-4f65718b691b,574
e8c6ec2e-6bf3-4e9c-b1b6-8854c7ccdce6,570
b9d6b5df-9ad4-4d62-b48d-9adb555031fb,578
481ffc54-c753-4aca-939d-496e007dd6ef,572
848f5dd3-d559-4512-9afb-2810e1b6352b,581
9cd1bd0a-c775-4cd6-b24a-7a7301974865,572
d4622ca5-d7e3-4469-b45f-39e6ddc13b18,572
e050f11f-2c21-42d4-83b7-f456c9db49b2,579
2b605304-b3b4-46ac-b921-c15a36652830,582
1e03e50a-5176-4b8d-8c19-bb26ca13c6ea,577
0b562662-e665-4e4e-9f4d-7679e5cac2b8,580
cc25c800-2051-4cf3-9a6e-c126cd0a5a06,583
e945622c-6d58-40f6-b260-1778af84af98,585
edf4fa99-f942-4f64-9001-eaa99f60c6fb,584
1006abb9-32d4-4fde-b9a4-208ec8b2a5f0,587
c89a5fe1-fa34-47a5-971f-db59d3c17177,589
f06a631c-b84f-4b21-8fb6-d54877220734,593
10f54c2c-a93f-437c-b329-2e3f0ab6ae33,591
4d729241-cb6a-41cc-bf77-33481eba2547,586
635dd118-3dd3-4357-bef7-a5cc88b57c06,589
efc26bd8-2fb2-45fd-b663-ae0a70f581f3,589
f5dd80ee-3e9a-49dd-99cb-f3737f640841,613
aee7d950-a2ad-48b2-bd62-747ca3d676e0,609
9cf8021f-c421-41f7-ba63-418316739c4e,615
b4acac99-929d-44c8-a66c-c3d113860303,629
